date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2020-02-01,16.0,15.0,0.0,25.27,30.77,2,2020,bakersfield,CA
2020-03-01,36.0,77.5,0.0,41.76,46.15,3,2020,bakersfield,CA
2020-04-01,53.0,42.5,0.0,73.63,76.92,4,2020,bakersfield,CA
2020-05-01,42.0,32.5,0.0,65.93,338.46,5,2020,bakersfield,CA
2020-06-01,28.0,21.25,22.0,61.54,200.0,6,2020,bakersfield,CA
2020-07-01,29.0,0.0,0.0,47.25,130.77,7,2020,bakersfield,CA
2020-08-01,28.0,16.25,0.0,56.04,115.38,8,2020,bakersfield,CA
2020-09-01,23.0,0.0,0.0,37.36,76.92,9,2020,bakersfield,CA
2020-10-01,25.0,0.0,0.0,37.36,92.31,10,2020,bakersfield,CA
2020-11-01,19.0,32.5,0.0,43.96,115.38,11,2020,bakersfield,CA
2020-12-01,28.0,20.0,0.0,26.37,123.08,12,2020,bakersfield,CA
2021-01-01,33.0,13.0,0.0,52.13,13.0,1,2021,bakersfield,CA
2021-02-01,27.5,0.0,0.0,48.61,13.0,2,2021,bakersfield,CA
2021-03-01,26.0,13.0,0.0,50.72,13.0,3,2021,bakersfield,CA
2021-04-01,21.0,0.0,0.0,40.86,13.0,4,2021,bakersfield,CA
2021-05-01,27.0,16.0,0.0,38.04,14.0,5,2021,bakersfield,CA
2021-06-01,25.0,0.0,0.0,57.76,15.0,6,2021,bakersfield,CA
2021-07-01,25.0,0.0,35.75,28.18,19.0,7,2021,bakersfield,CA
2021-08-01,32.0,15.0,0.0,53.54,18.0,8,2021,bakersfield,CA
2021-09-01,32.0,0.0,0.0,81.71,20.0,9,2021,bakersfield,CA
2021-10-01,35.0,0.0,0.0,81.71,22.0,10,2021,bakersfield,CA
2021-11-01,41.0,19.0,0.0,50.72,26.0,11,2021,bakersfield,CA
2021-12-01,41.0,19.0,0.0,57.76,22.0,12,2021,bakersfield,CA
2022-01-01,71.7,26.0,0.0,97.79,21.0,1,2022,bakersfield,CA
2022-02-01,40.33,13.0,0.0,82.87,20.0,2,2022,bakersfield,CA
2022-03-01,39.93,14.0,0.0,74.59,17.0,3,2022,bakersfield,CA
2022-04-01,43.19,31.0,0.0,82.87,17.0,4,2022,bakersfield,CA
2022-05-01,38.3,0.0,0.0,84.53,15.0,5,2022,bakersfield,CA
2022-06-01,36.67,0.0,0.0,89.5,19.0,6,2022,bakersfield,CA
2022-07-01,44.81,17.0,0.0,86.19,21.0,7,2022,bakersfield,CA
2022-08-01,48.89,0.0,0.0,111.05,17.0,8,2022,bakersfield,CA
2022-09-01,52.15,11.0,0.0,111.05,17.0,9,2022,bakersfield,CA
2022-10-01,57.85,20.0,0.0,112.71,23.0,10,2022,bakersfield,CA
2022-11-01,39.93,29.0,0.0,79.56,29.0,11,2022,bakersfield,CA
2022-12-01,30.15,17.0,0.0,87.85,30.0,12,2022,bakersfield,CA
2023-01-01,37.71,21.0,inf,78.0,26.0,1,2023,bakersfield,CA
2023-02-01,31.04,14.5,inf,58.5,17.0,2,2023,bakersfield,CA
2023-03-01,33.79,20.0,inf,68.0,18.0,3,2023,bakersfield,CA
2023-04-01,33.0,21.0,inf,61.0,20.0,4,2023,bakersfield,CA
2023-05-01,30.64,23.0,inf,69.0,17.0,5,2023,bakersfield,CA
2023-06-01,36.93,28.0,inf,65.0,16.0,6,2023,bakersfield,CA
2023-07-01,42.43,27.0,inf,81.0,20.0,7,2023,bakersfield,CA
2023-08-01,37.71,28.0,inf,73.0,24.0,8,2023,bakersfield,CA
2023-09-01,41.64,17.0,inf,77.0,20.0,9,2023,bakersfield,CA
2023-10-01,28.29,21.0,inf,66.0,17.0,10,2023,bakersfield,CA
2023-11-01,22.0,0.0,inf,61.0,13.0,11,2023,bakersfield,CA
2023-12-01,22.0,17.0,inf,71.0,13.0,12,2023,bakersfield,CA
2024-01-01,22.79,43.0,inf,65.0,11.0,1,2024,bakersfield,CA
2024-02-01,19.64,21.0,,51.0,9.0,2,2024,bakersfield,CA
